序号,年份,月,日,日期,标题,阅读数,获得点赞数,涉及领域,具体分类,消息来源,正面/负面,态度等级,新闻发生地点/相关提及地区,报纸
43,2015,9,3,2015/9/3,中国驻泰签证申请中心举行开业仪式,1724,9,经济,经济政策,综合,正,客观中立,曼谷,xingxie
44,2015,10,1,2015/10/1,泰国迎来第2200万名游客来自中国北京,2792,15,经济,经济政策,中新网,正,称赞,北京-曼谷,xingxie
45,2015,10,2,2015/10/2,两中国游客清迈唱K一小时被索要14000铢！！！,6560,18,社会,突发事故,综合,负,批判,清迈,xingxie
46,2015,10,2,2015/10/2,泰国加入亚投行第52个成员,1026,10,经济,金融/货币/利率相关,综合,正,客观中立,none,xingxie
47,2015,10,2,2015/10/2,星暹专访|韩冰：红遍中国的泰国男生,4026,16,文化,影视/娱乐,原创,正,称赞,南京-曼谷,xingxie
48,2015,10,3,2015/10/3,曼谷爆炸案|阿丁姆出生乌鲁木齐,2808,9,社会,公共安全,综合,负,批判,乌鲁木齐-曼谷,xingxie
49,2015,10,3,2015/10/3,范冰冰/Aum一代王妃造型大PK,2977,12,文化,影视/娱乐,综合,正,客观中立,none,xingxie
50,2015,10,5,2015/10/5,想赚中国人钱请讲普通话,3589,18,社会,旅游行为,综合,正,批判,none,xingxie
51,2015,10,11,2015/10/11,小德纳达尔献艺泰国每分钟赚36万人民币,1703,3,文化,影视/娱乐,新浪体育,正,客观中立,曼谷,xingxie
52,2015,10,11,2015/10/11,携防弹衣入泰香港记者被泰国警方正式起诉,1627,4,社会,公共安全,综合,负,批判,香港-曼谷,xingxie
53,2015,10,12,2015/10/12,星暹调查|清迈丛林飞跃又摔死人,11760,16,社会,公共安全,原创,负,批判,合肥-清迈,xingxie
54,2015,10,12,2015/10/12,工银泰国李志刚：世界经济不振，泰国仍是投资聚宝盆,2215,8,经济,经济形势,原创,正,客观中立,none,xingxie
55,2015,10,14,2015/10/14,爆炸惨案阴影难散中国游客月减十万,2449,12,经济,经济形势,综合,负,批判,曼谷,xingxie
56,2015,10,14,2015/10/14,星暹专访|“水上芭蕾”背后的汗与泪,600,4,文化,体育类,综合,正,称赞,广州-香港-曼谷,xingxie
57,2015,11,15,2015/11/15,泰国发放半年多次往返签游客没必要“囤签证”,3470,7,社会,政策/利好,综合,负,批判,none,xingxie
58,2015,11,15,2015/11/15,星暹评论|这一代不幸的中国人,5920,42,社会,旅游形象,原创,负,批判,none,xingxie
59,2015,11,18,2015/11/18,暹跟帖|泰国网友辩“孝顺税”该不该给,705,2,文化,影视/娱乐,原创,正,客观中立,none,xingxie
60,2015,11,18,2015/11/18,暹重磅|泰中铁路终于获批了!,11699,43,经济,国际经济合作,综合,正,称赞,none,xingxie
61,2015,11,2,2015/11/2,巴育总理会见香港特首梁振英,1355,6,政治,政府行为,综合,正,客观中立,香港-马尼拉,xingxie
62,2015,11,21,2015/11/21,泰国外长回应“表白”王毅：那是个比喻,3394,16,政治,领导人,中国日报,正,客观中立,none,xingxie
63,2015,11,27,2015/11/27,暹娱乐|张惠妹<乌托邦>2016年世界巡城演唱会宋干节唱响曼谷,1096,4,文化,影视/娱乐,综合,正,称赞,台北-曼谷,xingxie
64,2015,11,28,2015/11/28,私自修改签证？当心坐牢！留心应对泰国移民局工作人员的错漏,2625,4,社会,旅游行为,综合,负,批判,none,xingxie
65,2015,11,29,2015/11/29,中泰铁路合作项目或于12月19日举行奠基仪式,3370,14,经济,经济政策,荆楚网-楚天都市报,正,称赞,武汉-曼谷-呵叻府-廊开府,xingxie
66,2015,12,2,2015/12/2,应理性评价人民币“入篮”|星暹专访-原中国进出口银行董事长李若谷,1291,3,经济,经济人物,综合,正,客观中立,none,xingxie
67,2015,12,2,2015/12/2,“为父骑行”筹备完成骑行队伍有中国方阵,905,5,文化,风俗民俗介绍,综合,正,称赞,曼谷,xingxie
68,2015,12,2,2015/12/2,暹旅游|给初来泰国旅游的朋友们的七个小提示,2428,12,社会,旅游行为,综合,正,客观中立,none,xingxie
69,2015,12,4,2015/12/4,暹新闻|人民币加入SDR泰国将长期受惠,1844,6,经济,金融/货币/利率相关,综合,正,称赞,none,xingxie
70,2015,12,7,2015/12/7,暹华闻|泰国工商总会主席郑芷荪博士应国务院侨办邀请率团访华,281,1,政治,中泰关系,综合,正,客观中立,曼谷-北京-上海,xingxie
71,2015,12,7,2015/12/7,暹知道|中国拟严控海外代购，泰国代购的小朋友们要小心了！,2924,5,社会,政策/利好,综合,正,客观中立,none,xingxie
72,2015,12,8,2015/12/8,暹跟帖|泰国网友不淡定了---北京43小时整体换梁工程视频惊呆泰网友,2017,16,文化,影视/娱乐,综合,正,称赞,none,xingxie
73,2015,12,9,2015/12/9,暹新闻|中国银行（泰国）股份有限公司达拉泰分行隆重开业,799,3,经济,金融/货币/利率相关,综合,正,客观中立,达拉泰,xingxie
74,2015,12,9,2015/12/9,暹重磅|希望之光就在前方-星暹专访中国女子板球队,984,13,文化,体育类,原创,正,称赞,none,xingxie
75,2015,12,1,2015/12/1,暹娱乐|国产热剧《北京青年》将在泰国电视台上映,1069,6,文化,影视/娱乐,综合,正,称赞,none,xingxie
76,2015,12,1,2015/12/1,暹社会|在泰国车上你就小声点-像泰国人那样做个安静美男子/美女子,2704,8,社会,旅游行为,原创,负,批判,none,xingxie
77,2015,12,11,2015/12/11,暹新闻|为泰国国王庆祝88寿辰中泰爱心志愿者骑行曼谷,1799,10,文化,风俗民俗介绍,综合,正,称赞,曼谷,xingxie
78,2015,12,14,2015/12/14,暹社会|高达1.86米男相唐代木质观音像带着泰国人民的友谊回归祖国福泽四方,1177,10,社会,政策/利好,综合,正,称赞,五台山-曼谷,xingxie
79,2015,12,14,2015/12/14,暹重磅|“为父骑行”圆满结束|皇储殿下致全民“感谢信”|中国车队展现中泰一家亲|星暹记者记录全程感受,836,14,文化,风俗民俗介绍,综合,正,称赞,曼谷,xingxie
80,2015,12,14,2015/12/14,暹娱乐|黑脸“包青天”泰国变“网红”一代神剧泰国再掀收视热潮,1715,12,文化,影视/娱乐,综合,正,称赞,none,xingxie
81,2015,12,17,2015/12/17,持币观望不如来泰买房，中泰铁路，一带一路等多重利好来袭！,2263,10,社会,政策/利好,综合,正,称赞,none,xingxie
82,2015,12,19,2015/12/19,这里有中国人在泰国考取汽车摩托车驾照的攻略，各位自己来拿吧！,4026,22,社会,政策/利好,综合,正,客观中立,none,xingxie
83,2015,12,22,2015/12/22,暹文化|当“苏哥哥”率领“江左盟”来到泰国...,2117,13,文化,影视/娱乐,原创,正,称赞,none,xingxie
84,2015,12,2,2015/12/2,突发！中国乘客再次大闹泰国航班！这次要求开舱门！！下机抽烟！！,28196,18,社会,旅游行为,综合,负,批判,素叻坦尼,xingxie
85,2015,12,25,2015/12/25,暹新闻|泰国警方破获中国电话诈骗团伙27人被捕1人逃脱,1125,6,社会,公共安全,综合,负,批判,none,xingxie
86,2015,12,28,2015/12/28,丑哭了！北京有大裤衩，曼谷有大象塔！,2581,7,文化,影视/娱乐,综合,正,批判,北京-曼谷,xingxie
87,2015,12,28,2015/12/28,辟谣！“中国女子泰国吞钻说日语”事件疑点重重3张配图与事件不符！,10517,20,社会,突发事故,综合,正,客观中立,none,xingxie
88,2015,12,29,2015/12/29,暹社会|要想富开当铺-为啥泰国的当铺都是华人开的？,2513,8,文化,风俗民俗介绍,原创,正,称赞,none,xingxie
89,2015,12,3,2015/12/3,突发！中国一女子北标府跳楼身亡原因尚在调查,2095,4,社会,突发事故,综合,负,客观中立,郑州-北标府,xingxie
90,2015,12,31,2015/12/31,辣评|2015年中国人在泰国的最后一次躺枪...,2691,16,社会,旅游形象,原创,负,批判,none,xingxie
91,2016,1,6,2016/1/6,2016年丑闻爆出第一桩乘飞机随身财物咋保障？,2850,6,社会,突发事故,综合,负,批判,曼谷,xingxie
92,2016,1,6,2016/1/6,泰国国内胶价跌至百年最低，这会不会也是购买泰国乳胶产品的好时机？,13108,27,经济,金融/货币/利率相关,综合,正,客观中立,none,xingxie
93,2016,1,7,2016/1/7,冒牌青草膏专售中国人来泰旅游选购日常药品咋小心？,14962,21,社会,公共安全,综合,负,批判,清迈,xingxie
94,2016,1,7,2016/1/7,独家|中国女子华欣溺水-本报回应家属求助，使馆志愿者驰援！,1472,8,社会,突发事故,原创,正,客观中立,北京-曼谷,xingxie
95,2016,1,12,2016/1/12,中国黑帮赴泰国作案增加，最擅长干的是这几件事儿...,3170,8,社会,公共安全,综合,负,批判,none,xingxie
96,2016,1,12,2016/1/12,中国学生抗议九星航空欺诈事件发酵引发各方关注！,1380,6,社会,突发事故,综合,负,批判,曼谷,xingxie
97,2016,1,13,2016/1/13,中国学生人身拘禁？泰方经理故意伤害？九星航空事件愈演愈烈！,4226,12,社会,突发事故,综合,负,批判,曼谷,xingxie
98,2016,1,14,2016/1/14,华欣溺水女同胞康复-不是每一次意外都会有完美的结局！,1215,6,社会,突发事故,原创,正,批判,曼谷,xingxie
99,2016,1,14,2016/1/14,中国全面解决“黑户”问题-“落户”泰国咋办理？,6878,19,社会,政策/利好,综合,正,客观中立,none,xingxie
100,2016,1,16,2016/1/16,一则同胞被蛇咬的小视频火了，幸灾乐祸的围观者里是否也有你一个？,6272,18,文化 ,影视/娱乐,中国新闻网,负,批判,上海-普吉岛,xingxie
101,2016,1,18,2016/1/18,泰网友扒出泰国副总理巴逸撞脸港星郑则仕？！,1867,6,文化,影视/娱乐,综合,正,客观中立,none,xingxie
102,2016,1,2,2016/1/2,泰国酒店中国老板？中国资本大举进入泰旅游业!,2521,3,经济,进出口/投资,综合,负,批判,none,xingxie
103,2016,1,29,2016/1/29,悲剧再度上演-27岁中国女游客甲米溺水不治身亡！,3206,2,社会,突发事故,综合,负,客观中立,甲米岛,xingxie
104,2016,1,29,2016/1/29,唐人街二月五号新春盛会孙大圣佛牌五千枚免费领！,2029,5,文化,风俗民俗介绍,综合,正,称赞,曼谷,xingxie
105,2016,1,3,2016/1/3,利好|泰内阁批准预算案-出资亚投行14.7亿美元！,1513,10,经济,国际经济合作,综合,正,称赞,none,xingxie
106,2016,1,3,2016/1/3,新华网泰国频道开通庆典在曼谷举行,649,6,社会,政策/利好,综合,正,称赞,曼谷,xingxie
107,2016,2,1,2016/2/1,讨厌！人家是小岳岳不是“人妖“！,1223,6,文化,影视/娱乐,综合,正,称赞,普吉岛,xingxie
108,2016,2,1,2016/2/1,熊黛林游泰国虔诚拜四面佛见路人拍照变脸怒吼!,4465,2,文化,影视/娱乐,综合,负,批判,香港-曼谷,xingxie
109,2016,2,2,2016/2/2,泰中当红名星猴年献瑞-丝路?中泰情音乐盛典华丽上演,1012,5,文化,影视/娱乐,综合,正,称赞,西安-曼谷,xingxie
110,2016,2,3,2016/2/3,大叔们，你们吓坏了泰国的人妖圈...,35097,25,社会,旅游行为,原创,负,批判,芭堤雅,xingxie
111,2016,2,4,2016/2/4,中泰铁路又生变数？泰方建议中国在特殊目的机构持股60%！,5090,7,经济,国际经济合作,综合,正,客观中立,none,xingxie
112,2016,2,5,2016/2/5,泰国华人咋过年？父母理解少催婚不爱爆竹爱烟花!,1793,7,文化,影视/娱乐,综合,正,客观中立,昆明-普吉地区,xingxie
113,2016,2,5,2016/2/5,你不知道的泰国试管婴儿那些事儿！,9096,18,社会,政策/利好,原创,正,客观中立,none,xingxie
114,2016,2,6,2016/2/6,泰国发生骇人奸杀案，民众主张学”包青天“铡了罪犯！,3806,7,文化,影视/娱乐,综合,正,客观中立,none,xingxie
115,2016,2,1,2016/2/1,诗琳通公主为唐人街猴年春节活动揭幕!,4716,30,文化,风俗民俗介绍,综合,正,称赞,曼谷,xingxie
116,2016,2,11,2016/2/11,中国驻泰大使馆机场文明安全系列提醒-文明旅游安全出行！,4514,11,社会,旅游形象,综合,负,批判,none,xingxie
117,2016,2,12,2016/2/12,来泰旅游银联卡旅游用卡小贴士！,3957,3,社会,政策/利好,综合,正,客观中立,none,xingxie
118,2016,2,12,2016/2/12,去年83名外国游客遇难泰国政府探讨加强游客安全！,3275,3,社会,突发事故,中新网,正,客观中立,none,xingxie
119,2016,2,15,2016/2/15,重庆美女来泰旅游捡钱包后的做法...值得我们深思！,4249,42,社会,旅游行为,综合,正,称赞,重庆-清迈,xingxie
120,2016,2,16,2016/2/16,繁华古旧的梦-游曼谷唐人街耀华力路!,2352,7,文化,风俗民俗介绍,原创,正,称赞,曼谷,xingxie
121,2016,2,16,2016/2/16,泰国四面佛爆炸案疑犯翻供称被屈打成招！,2312,5,社会,公共安全,凤凰网,负,批判,曼谷,xingxie
122,2016,2,17,2016/2/17,泰国董里最懂你-中国游客泰国行的又一“靓点”！,2212,3,文化,风俗民俗介绍,综合,正,称赞,董里,xingxie
123,2016,2,18,2016/2/18,快讯|中国海军舰艇编队访问泰国,796,8,军事,展示军事装备/技术,综合,正,客观中立,林查班港,xingxie
124,2016,2,19,2016/2/19,泰囧!徐静蕾被扣泰国海关被误认倒卖珠子!,7270,8,文化,影视/娱乐,综合,正,客观中立,北京-曼谷,xingxie
125,2016,2,2,2016/2/2,泰国将严查中国自驾车偷换假牌照！,4071,9,社会,政策/利好,综合,负,批判,none,xingxie
126,2016,2,23,2016/2/23,港媒：中国游客泰国自驾游乱停车遭泰网友炮轰！,3191,8,社会,旅游行为,综合,负,批判,none,xingxie
127,2016,2,24,2016/2/24,梁朝伟泰国拜佛被拍，牵出他20年前与白龙王的缘分！,12622,32,文化,影视/娱乐,综合,正,称赞,曼谷,xingxie
128,2016,2,25,2016/2/25,"泰国对逾期滞留加大处罚力度,中国驻泰使馆发布旅行提示!",2388,11,社会,政策/利好,综合,负,批判,none,xingxie
129,2016,2,26,2016/2/26,"唐人街一酒楼爆炸起火,所幸无人员伤亡！",2991,2,社会,突发事故,综合,正,客观中立,曼谷,xingxie
130,2016,2,27,2016/2/27,自驾来泰的朋友注意啦，交通部将出台自驾游车辆管制新规！,9992,22,社会,政策/利好,综合,负,批判,none,xingxie
131,2016,3,1,2016/3/1,“COSER三千”COS太子妃泰国网友又一次惊呆了！,2939,9,文化,影视/娱乐,综合,正,称赞,none,xingxie
132,2016,3,2,2016/3/2,"中国游客在泰""吃霸王餐""不实或语言障碍所致！",6752,8,社会,旅游事故,新华社,正,客观中立,清迈,xingxie
133,2016,3,2,2016/3/2,云南卫视《你是我的旅伴》来泰拍摄招募选手！,1095,3,文化,影视/娱乐,综合,正,客观中立,昆明-苏梅岛,xingxie
134,2016,3,4,2016/3/4,突发！持假枪抢真枪5中国人抢劫枪店，1死，1伤，2人被捕，1人逃走！,47110,105,社会,突发事故,综合,负,批判,曼谷,xingxie
135,2016,3,4,2016/3/4,“90后”护士泰国海滩救人大喊“I‘manurse!”,4418,88,社会,旅游行为,东北网,正,称赞,哈尔滨-皮皮岛,xingxie
136,2016,3,5,2016/3/5,抢枪案续-劫匪头目落网，称抢枪是为了偷运回中国售卖！,4943,13,社会,突发事故,综合,负,批判,曼谷,xingxie
137,2016,3,5,2016/3/5,泰国驾照好处多中国游客扎堆考!,7029,24,社会,政策/利好,综合,正,客观中立,none,xingxie
138,2016,3,7,2016/3/7,劫枪店匪徒手机卡卖主或涉其他违法签证被取消被列入黑名单！,3370,8,社会,公共安全,综合,负,批判,广州-普吉府,xingxie
139,2016,3,8,2016/3/8,加速转型冲破阻碍-星暹专访TCL泰国公司总经理杨宗林,1143,10,经济,经济人物,综合,正,称赞,none,xingxie
140,2016,3,8,2016/3/8,中国游客芭提雅被抢损失6万铢！,8517,11,社会,突发事故,综合,负,批判,芭提雅,xingxie
141,2016,3,9,2016/3/9,逆转！“数十位中国男游客泰国海滩集体裸身群舞”经调查实为日本游客！,7110,22,社会,旅游形象,综合,正,客观中立,曼谷,xingxie
142,2016,3,1,2016/3/1,迅速衰老！泰国影迷对李连杰的现状表示担忧!,3718,15,文化,影视/娱乐,综合,正,客观中立,none,xingxie
143,2016,3,11,2016/3/11,日本公司就30名员工在泰群裸道歉，泰中日三国网友观点各异！,6665,21,社会,旅游形象,综合,正,客观中立,曼谷,xingxie
144,2016,3,11,2016/3/11,泰五家廉航抱团进军中国-瞄准两国二线城市,2373,9,经济,进出口/投资,综合,正,客观中立,曼谷-北京-广州-深圳-素叻他尼,xingxie
145,2016,3,12,2016/3/12,"游客带回泰国大米被查扣,这三类物品禁止携带入境!",18525,33,社会,旅游行为,综合,正,批判,武汉-曼谷,xingxie
146,2016,3,14,2016/3/14,泰国投资委推出投资新策略-投资泰国最高可免8年企业所得税！,2538,11,经济,进出口/投资,综合,正,客观中立,none,xingxie
147,2016,3,15,2016/3/15,中国女游客清迈古城门倒立被泰网友指责!？,2176,5,社会,旅游行为,综合,负,批判,清迈,xingxie
148,2016,3,16,2016/3/16,两名华人冒用泰国死人名贩毒被捕死者家属遭殃！,3081,5,社会,公共安全,综合,负,批判,曼谷,xingxie
149,2016,3,17,2016/3/17,中国放水饱受旱灾之苦的泰农哭笑不得~！,3727,18,社会,公共安全,综合,负,批判,none,xingxie
150,2016,3,19,2016/3/19,爱国教育:中国有抗日神剧泰国有韩国欧霸总理亲打广告~！,3115,12, 文化,影视/娱乐,综合,正,称赞,none,xingxie
151,2016,3,19,2016/3/19,泰商务部严控中印辣椒倾销泰国,1413,1,社会,政策/利好,综合,正,批判,none,xingxie
152,2015,9,1,2015/9/1,泰国乌达抛机场开通直飞南宁/南昌航线开通,642,2,社会,政策/利好,综合,正,称赞,乌达抛-南宁-南昌,shijie
153,2015,9,2,2015/9/2,曼谷爆炸案主嫌落网?!,735,1,社会,公共安全,综合,负,批判,曼谷,shijie
154,2015,9,3,2015/9/3,泰中书法展与拍卖会本月18日开幕,102,0,文化,交流切磋,综合,正,称赞,none,shijie
155,2015,9,4,2015/9/4,泰国G2G售米贪污案泰中15人遭起诉,261,1,社会,突发事故,综合,负,批判,none,shijie
156,2015,9,4,2015/9/4,曼谷警察逮捕3名中国籍扒手涉嫌盗窃机场捷运乘客财物,1030,2,社会,突发事故,综合,负,批判,曼谷,shijie
157,2015,9,4,2015/9/4,2中国女性游芭堤雅遭性侵两嫌犯落网,1535,0,社会,突发事故,综合,负,客观中立,芭堤雅,shijie
158,2015,9,7,2015/9/7,不满航班延误游客泰国廊曼大闹机场,217,0,社会,旅游行为,综合,负,批判,曼谷,shijie
159,2015,9,9,2015/9/9,谷爆炸案嫌犯供出中国首脑,3427,4,社会,公共安全,综合,负,批判,曼谷,shijie
160,2015,9,1,2015/9/1,清迈破赌球网逮捕17名中国籍嫌犯,422,2,社会,公共安全,综合,负,批判,清迈,shijie
161,2015,9,12,2015/9/12,爆炸案主嫌逃中国？警方：无证据,324,1,社会,公共安全,综合,负,客观中立,曼谷,shijie
162,2015,9,12,2015/9/12,清迈动物园明星熊猫林惠又孕了！待遇升级,100,0,文化,影视/娱乐,综合,正,称赞,清迈,shijie
163,2015,9,12,2015/9/12,中国双盗在曼谷珠宝展窃钻石,1083,2,社会,公共安全,综合,负,批判,曼谷,shijie
164,2015,9,14,2015/9/14,中国电影节曼谷开幕多部影片轮番上映,333,4,文化,影视/娱乐,新华社,正,称赞,曼谷,shijie
165,2015,9,14,2015/9/14,曼谷珠宝展失窃钻石医师从中国女子肚子取出钻石,4088,15,社会,公共安全,综合,负,批判,湖南-曼谷,shijie
166,2015,9,17,2015/9/17,「白娘子」古装照惹恼白庙主人,570,1,社会,旅游行为,综合,负,批判,清莱府,shijie
167,2015,9,22,2015/9/22,泰旅游局组团出席中国-东盟博览会参观南宁美食街芭堤雅拟引进,193,0,政治,中泰关系,综合,正,称赞,南宁-芭堤雅,shijie
168,2015,9,23,2015/9/23,熊猫林惠荷尔蒙续降宝宝可随时降生,61,1,文化,影视/娱乐,综合,正,称赞,清迈,shijie
169,2015,9,23,2015/9/23,阿里巴巴继续深化跨境电商战略聚划算携手泰王国商业部联合首发全球直供年卡,326,0,经济,进出口/投资,综合,正,称赞,none,shijie
170,2015,9,23,2015/9/23,港星米雪/任达华拜四面佛挺泰观光,1495,6,文化,影视/娱乐,综合,正,客观中立,香港-曼谷,shijie
171,2015,9,24,2015/9/24,中国使馆提醒赴泰游客：莫带「有钱就是大爷」的心态出国,757,4,社会,旅游形象,中新社,负,批判,none,shijie
172,2015,9,24,2015/9/24,两中国游客租机车玩苏梅岛遭追尾一死一伤,2663,4,社会,突发事故,综合,负,客观中立,苏梅岛,shijie
173,2015,9,25,2015/9/25,中国国庆临近酒店预订回温,172,0,社会,政策/利好,综合,正,客观中立,none,shijie
174,2015,9,3,2015/9/3,中国大使馆证服务中心开业,384,3,社会,政策/利好,新华社,正,客观中立,曼谷,shijie
175,2015,10,1,2015/10/1,中国客清迈遭宰1万4000铢怒报警,732,5,社会,突发事故,综合,负,批判,清迈,shijie
176,2015,10,3,2015/10/3,中爱清迈国庆长假消费上看4亿,464,3,经济,经济形势,综合,正,客观中立,清迈,shijie
177,2015,10,5,2015/10/5,中国游客超多清迈象园大象不够骑,642,5,社会,旅游行为,综合,负,批判,清迈,shijie
178,2015,10,7,2015/10/7,2名中国黑导被查10万铢贿赂警员罪加一等,1964,3,社会,公共安全,综合,负,批判,普吉岛,shijie
179,2015,10,8,2015/10/8,中国游客游攀牙体验浮潜却意外呛水身亡,1292,0,社会,突发事故,综合,负,客观中立,攀牙府,shijie
180,2015,10,9,2015/10/9,曼谷唐人街九皇斋胜会12日登场,574,3,文化,风俗民俗介绍,综合,正,称赞,曼谷,shijie
181,2015,10,1,2015/10/1,香港游客坠崖魂断清迈,505,1,社会,突发事故,综合,负,客观中立,香港-清迈,shijie
